system,dp,Temp,MSD_1ps,MSD_2ps,MSD_3ps,MSD_4ps,MSD_5ps,MSD_6ps,MSD_7ps,MSD_8ps,MSD_9ps,MSD_10ps
PMTFPS,10,100,0.22398627731177867,0.23537144017239062,0.23520822877092043,0.23804400973572087,0.2459317568250992,0.25133757664651946,0.2538200642913152,0.2635695559035984,0.26490513873967125,0.27001483849562324
PMTFPS,10,105,0.2369799316636519,0.25184816774806135,0.25571145870752743,0.2658163783484201,0.27099712513734325,0.27787467116826386,0.2829832447888692,0.29291378793456097,0.29788850663499156,0.3043145209411126
PMTFPS,10,110,0.2526661180263547,0.2706737823118318,0.2787328650567195,0.28531285500112624,0.28764144303929773,0.29561424712363965,0.30487913605647166,0.3145290010657035,0.322674683098547,0.3306479223635187
PMTFPS,10,115,0.26902888582503454,0.29116735100240665,0.30394909201215425,0.307143841650415,0.3113681850457002,0.31928193256415294,0.3282507976399169,0.33962869111138083,0.3534198737689023,0.35800501975106425
PMTFPS,10,120,0.27917006949947165,0.30416385933574147,0.312733698964339,0.3251483883131318,0.33221238884925436,0.33604806943409504,0.3497836623685287,0.3593839687507015,0.3743847796273969,0.3797469037106375
PMTFPS,10,125,0.29870242679441666,0.3293246226678813,0.3393419380731174,0.3443777620153051,0.34980410692329117,0.3651297883893065,0.3769965955112473,0.38955616432779694,0.3991666451453956,0.4039911739454866
PMTFPS,10,130,0.30654095201780707,0.34122812843636807,0.35508177383506256,0.36100174808461427,0.373156301713806,0.38305282653148387,0.3893868935805379,0.4050467820939194,0.4147580652369268,0.4263169186801098
PMTFPS,10,135,0.3285880793132967,0.3704099339393355,0.3775452917427817,0.3922545559692736,0.40458943011932125,0.4196977082198289,0.42924922763690593,0.4366820113082043,0.45514060192244593,0.47135504804845463
PMTFPS,10,140,0.34417461406327005,0.39040271039888097,0.41509250633563155,0.4322251536314184,0.44236449017082524,0.45120218237578635,0.45775334982772337,0.47857771204532024,0.49736899753167724,0.5172374956625189
PMTFPS,10,145,0.35428244321350877,0.40056804585004746,0.4180617204656912,0.4340277050724299,0.4474880097203043,0.46141134140746426,0.4772016269417788,0.48993112546172923,0.5064453028840608,0.5234863710792387
PMTFPS,10,150,0.3743159090920455,0.4259515357474145,0.44942341194266755,0.47271095509739264,0.49458915559142175,0.5025994054138143,0.5163217521931367,0.5332536367995595,0.5429493242005033,0.5592177894579327
PMTFPS,10,155,0.39609422703105385,0.4459947548772754,0.4748148324734444,0.504116523279231,0.5185829667687429,0.5325264374511423,0.5505195170319233,0.572372168303741,0.5861768277582731,0.5948139687806114
PMTFPS,10,160,0.42246893959547177,0.4858159687994704,0.5160606152334319,0.542590524431069,0.5581378742520726,0.5765658783096298,0.5941704988239687,0.6160283898308592,0.6388505709350873,0.6558219409646888
PMTFPS,10,165,0.4279670880432801,0.5097325531294554,0.5403034183589992,0.5664087747462648,0.581691980803743,0.6016248956287987,0.6272697038930637,0.6461301971122843,0.6692939592710403,0.6872969056725903
PMTFPS,10,170,0.45244196311702717,0.5337839243733102,0.565726877685188,0.5936010127220465,0.6116987152762342,0.6390138844911478,0.6722264224277845,0.6881527964269158,0.7120699966946258,0.7335926098003197
PMTFPS,10,175,0.47561432309972995,0.5608794354628693,0.6072070497182681,0.6320367835657235,0.6611568907433674,0.6876643832336266,0.7084293796811049,0.7313689657142006,0.7612808575225226,0.785190130627779
PMTFPS,10,180,0.49665499567804067,0.5875612900953826,0.6317140959009216,0.6620702824370069,0.6923063066592804,0.7196347845704875,0.7513725556059508,0.7781665410558058,0.803908569315458,0.8272662611628245
PMTFPS,10,185,0.5166168841826095,0.6181738956707268,0.6694619692915166,0.7082997569228453,0.726198675635976,0.7558389008235562,0.7824304825501887,0.817593793330375,0.8427184294684829,0.8686072729440653
PMTFPS,10,190,0.543740730139351,0.6445512810623983,0.6872809099708462,0.735945065888316,0.7697536903879756,0.7969328970817982,0.8197025051395048,0.8474422796490462,0.8745435747970538,0.9000892110904795
PMTFPS,10,195,0.5560026595700613,0.6761118990866826,0.7309788456087183,0.7806032486977857,0.8142617176417686,0.848127022985907,0.882224393498654,0.9132698694838179,0.9375838930940714,0.9622287948362518
PMTFPS,10,200,0.5782781326748424,0.6944997951336467,0.7539089067405615,0.7935528787361049,0.8308484274299556,0.8782039456650985,0.9126463048038879,0.9379741458339221,0.9605470707666575,0.9923962573357287
PMTFPS,10,205,0.5951055237651002,0.7238196103027624,0.7901767039776171,0.8384102134189068,0.8748047701146042,0.9216588851524457,0.9503470088145589,0.989403848514773,1.0153483498722338,1.044519584795127
PMTFPS,10,210,0.6197583938948213,0.7669616076265691,0.8333885369207289,0.8868907127869742,0.9263752778641272,0.96936986816195,1.0170058934046529,1.0387928449231927,1.0705292914415252,1.0986314436775813
PMTFPS,10,215,0.6340984783208962,0.7815613993840089,0.8543340499295828,0.9154224582808312,0.9410987767605038,0.9749394786980371,1.0100266171074916,1.050719885404051,1.0795345129271556,1.103243031865474
PMTFPS,10,220,0.6684985751756056,0.8254949743345541,0.8923199206753585,0.940859380345991,1.0080336686204436,1.05898541449802,1.094943750444965,1.140689612066879,1.1692003906966424,1.185219450698905
PMTFPS,10,225,0.6899728476436979,0.8419657557760786,0.9293518833788795,0.9888955530068214,1.0441178968845433,1.0889236295896136,1.1310028474605365,1.1713721107124937,1.210109023186549,1.2481146885408416
PMTFPS,10,230,0.7114166381027947,0.8882093849762132,0.9730554616859932,1.0334541183078065,1.084553736533866,1.122925441737848,1.161929718974403,1.2000467828906294,1.2447219593109404,1.2799514682318838
PMTFPS,10,235,0.7437611667546069,0.9304527206997149,1.0273959669820996,1.091225208297145,1.1530523633841474,1.1973938342037653,1.235888463342853,1.2790070539039857,1.3319895871886465,1.353936716104735
PMTFPS,10,240,0.7459123835162658,0.936537319154197,1.0314669252940396,1.1030466852096115,1.1524590917882254,1.209290409754471,1.2485016035578453,1.2956866256136625,1.339291485335396,1.3762524661378506
PMTFPS,10,245,0.7790886998290282,0.9803397176883604,1.085284262850712,1.1604082851159143,1.2153951493747674,1.272872825003322,1.315473570198588,1.3476187215715936,1.394949275927122,1.4397653839403342
PMTFPS,10,250,0.8017149349217014,1.0033945530087918,1.0883711248906285,1.1762022016627736,1.234123978309053,1.279052501967192,1.329204499177843,1.383641783518121,1.4430140453610347,1.4902014891846935
PMTFPS,10,255,0.8273096069907627,1.0455509881338634,1.1471725359869365,1.2291753191249173,1.3050406787783122,1.364149558064651,1.41988543501876,1.4569579794343723,1.4940554538712196,1.5341783875212058
PMTFPS,10,260,0.8511385005653036,1.0948996006058072,1.2059284421757646,1.2862323265231133,1.3509310871790385,1.417304903094172,1.458643564695262,1.4963171275933815,1.5503157469359352,1.5851652725238323
PMTFPS,10,265,0.8732061741323374,1.1193083713206087,1.2369018129422134,1.3132112035621333,1.3938987268231247,1.4728870729786434,1.5225149573441858,1.582219535818547,1.6142796493339628,1.645910896487901
