system,dp,sample_idx,rg
PMTFPS,10,32,6.973992347717285
PMTFPS,10,33,7.801188945770264
PMTFPS,10,34,7.601582050323486
PMTFPS,10,35,6.03810453414917
PMTFPS,10,36,7.958916187286377
PMTFPS,10,37,7.682184219360352
PMTFPS,10,38,6.306941986083984
PMTFPS,10,39,7.769973278045654
PMTFPS,10,40,6.765037536621094
PMTFPS,10,41,7.994688510894775
PMTFPS,10,42,6.378174304962158
PMTFPS,10,43,6.4122796058654785
PMTFPS,10,44,6.107250690460205
PMTFPS,10,45,6.573870658874512
PMTFPS,10,46,6.937754154205322
PMTFPS,10,47,7.130672454833984
PMTFPS,10,48,6.922786235809326
PMTFPS,10,49,7.934894561767578
PMTFPS,10,50,7.445737838745117
PMTFPS,10,51,6.443511962890625
PMTFPS,10,52,7.7115092277526855
PMTFPS,10,53,6.220822811126709
PMTFPS,10,54,6.897788047790527
PMTFPS,10,55,7.323220729827881
PMTFPS,10,56,7.024878978729248
PMTFPS,10,57,6.770958423614502
PMTFPS,10,58,7.454348087310791
PMTFPS,10,59,6.291502952575684
PMTFPS,10,60,6.561411380767822
PMTFPS,10,61,6.974207401275635
PMTFPS,10,62,6.972753047943115
PMTFPS,10,63,7.581411361694336
PMTFPS,10,64,7.500255584716797
PMTFPS,10,65,7.761444091796875
PMTFPS,10,66,7.273135662078857
PMTFPS,10,67,7.08170223236084
PMTFPS,10,68,7.809381008148193
PMTFPS,10,69,7.262791156768799
PMTFPS,10,70,7.635856628417969
PMTFPS,10,71,7.409774303436279
PMTFPS,10,72,6.431884765625
PMTFPS,10,73,7.756170749664307
PMTFPS,10,74,5.912979602813721
PMTFPS,10,75,6.6453728675842285
PMTFPS,10,76,7.543880939483643
PMTFPS,10,77,6.378015995025635
PMTFPS,10,78,6.800213813781738
PMTFPS,10,79,7.456584930419922
PMTFPS,10,80,6.3814921379089355
PMTFPS,10,81,6.4494404792785645
PMTFPS,10,82,5.843499660491943
PMTFPS,10,83,6.0244951248168945
PMTFPS,10,84,7.963830947875977
PMTFPS,10,85,6.467673301696777
PMTFPS,10,86,7.1058807373046875
PMTFPS,10,87,7.338369846343994
PMTFPS,10,88,6.704428195953369
PMTFPS,10,89,7.088970184326172
PMTFPS,10,90,6.713593482971191
PMTFPS,10,91,7.732771873474121
PMTFPS,10,92,7.040116310119629
PMTFPS,10,93,7.50050163269043
PMTFPS,10,94,6.531469345092773
PMTFPS,10,95,7.134936332702637
PMTFPS,10,96,7.095427513122559
PMTFPS,10,97,7.06842565536499
PMTFPS,10,98,5.809205532073975
PMTFPS,10,99,7.820751667022705
PMTFPS,10,100,6.048423767089844
PMTFPS,10,101,7.343865394592285
PMTFPS,10,102,6.860382556915283
PMTFPS,10,103,6.251697063446045
PMTFPS,10,104,7.821332931518555
PMTFPS,10,105,7.62429141998291
PMTFPS,10,106,6.04133939743042
PMTFPS,10,107,7.620638370513916
PMTFPS,10,108,6.360608100891113
PMTFPS,10,109,6.247297763824463
PMTFPS,10,110,7.640695571899414
PMTFPS,10,111,6.666463851928711
PMTFPS,10,112,6.464126110076904
PMTFPS,10,113,6.825412273406982
PMTFPS,10,114,7.616755485534668
PMTFPS,10,115,6.502121448516846
PMTFPS,10,116,7.903349876403809
PMTFPS,10,117,6.071431636810303
PMTFPS,10,118,7.7050886154174805
PMTFPS,10,119,7.661660671234131
PMTFPS,10,120,6.907570838928223
PMTFPS,10,121,7.226359844207764
PMTFPS,10,122,6.856127738952637
PMTFPS,10,123,6.8056535720825195
PMTFPS,10,124,6.9024658203125
PMTFPS,10,125,6.857481956481934
PMTFPS,10,126,6.643867492675781
PMTFPS,10,127,6.173369407653809
PMTFPS,10,128,6.448221206665039
PMTFPS,10,129,7.877371311187744
PMTFPS,10,130,6.459316730499268
PMTFPS,10,131,7.500945091247559
PMTFPS,10,132,7.7049174308776855
PMTFPS,10,133,7.876023769378662
PMTFPS,10,134,6.434417724609375
PMTFPS,10,135,7.746201038360596
PMTFPS,10,136,6.407299995422363
PMTFPS,10,137,7.815215110778809
PMTFPS,10,138,7.818115234375
PMTFPS,10,139,6.396541118621826
PMTFPS,10,140,7.02000093460083
PMTFPS,10,141,7.7520670890808105
PMTFPS,10,142,6.566982746124268
PMTFPS,10,143,5.558078765869141
PMTFPS,10,144,6.517189025878906
PMTFPS,10,145,6.4849419593811035
PMTFPS,10,146,6.405257701873779
PMTFPS,10,147,7.309181213378906
PMTFPS,10,148,7.430056095123291
PMTFPS,10,149,6.636971473693848
PMTFPS,10,150,6.371984958648682
PMTFPS,10,151,6.773952484130859
PMTFPS,10,152,6.795690059661865
PMTFPS,10,153,6.895885944366455
PMTFPS,10,154,7.621798038482666
