system,dp,sample_idx,ree
PDMS,30,57,17.50775909423828
PDMS,30,58,50.41179275512695
PDMS,30,59,12.71113395690918
PDMS,30,60,40.80660629272461
PDMS,30,61,26.215267181396484
PDMS,30,62,55.87584686279297
PDMS,30,63,32.599693298339844
PDMS,30,64,53.42688751220703
PDMS,30,65,9.298883438110352
PDMS,30,66,34.73434829711914
PDMS,30,67,43.3282585144043
PDMS,30,68,51.0585823059082
PDMS,30,69,26.21451759338379
PDMS,30,70,49.24687576293945
PDMS,30,71,40.5127067565918
PDMS,30,72,54.513526916503906
PDMS,30,73,32.857643127441406
PDMS,30,74,33.19135284423828
PDMS,30,75,28.01195526123047
PDMS,30,76,63.74006652832031
PDMS,30,77,42.48591613769531
PDMS,30,78,42.13559341430664
PDMS,30,79,38.60443115234375
PDMS,30,80,60.700191497802734
PDMS,30,81,21.902311325073242
PDMS,30,82,46.55978012084961
PDMS,30,83,24.52437400817871
PDMS,30,84,47.174625396728516
PDMS,30,85,30.007516860961914
PDMS,30,86,38.289306640625
PDMS,30,87,57.623504638671875
PDMS,30,88,22.95900535583496
PDMS,30,89,34.37868118286133
PDMS,30,90,48.367618560791016
PDMS,30,91,40.45347595214844
PDMS,30,92,56.2265625
PDMS,30,93,42.41155242919922
PDMS,30,94,38.20323944091797
PDMS,30,95,38.85795593261719
PDMS,30,96,50.548824310302734
PDMS,30,97,58.99190902709961
PDMS,30,98,11.42434024810791
PDMS,30,99,22.395048141479492
PDMS,30,100,35.84800338745117
PDMS,30,101,37.37834167480469
PDMS,30,102,34.272830963134766
PDMS,30,103,12.419113159179688
PDMS,30,104,23.691280364990234
PDMS,30,105,8.207122802734375
PDMS,30,106,62.97177505493164
PDMS,30,107,12.222498893737793
PDMS,30,108,35.339012145996094
PDMS,30,109,32.335636138916016
PDMS,30,110,38.21154022216797
PDMS,30,111,60.39571762084961
PDMS,30,112,36.028804779052734
PDMS,30,113,24.750940322875977
PDMS,30,114,20.082796096801758
PDMS,30,115,46.88528060913086
PDMS,30,116,12.169058799743652
PDMS,30,117,28.808900833129883
PDMS,30,118,52.59501647949219
PDMS,30,119,36.650733947753906
PDMS,30,120,23.20720672607422
PDMS,30,121,33.09458541870117
PDMS,30,122,49.267417907714844
PDMS,30,123,54.31191635131836
PDMS,30,124,61.32528305053711
PDMS,30,125,50.94470977783203
PDMS,30,126,15.44565486907959
PDMS,30,127,25.508737564086914
PDMS,30,128,52.883541107177734
PDMS,30,129,48.195945739746094
PDMS,30,130,31.619848251342773
PDMS,30,131,57.79002380371094
PDMS,30,132,15.425057411193848
PDMS,30,133,16.37609100341797
PDMS,30,134,46.5905876159668
PDMS,30,135,29.889957427978516
PDMS,30,136,60.08396530151367
PDMS,30,137,12.029411315917969
PDMS,30,138,10.10473346710205
PDMS,30,139,32.21515655517578
PDMS,30,140,51.89181137084961
PDMS,30,141,52.68730926513672
PDMS,30,142,65.57118225097656
PDMS,30,143,18.31717300415039
PDMS,30,144,61.48672103881836
PDMS,30,145,32.914527893066406
PDMS,30,146,18.91115951538086
PDMS,30,147,21.807558059692383
PDMS,30,148,48.45773696899414
PDMS,30,149,61.06644058227539
PDMS,30,150,19.362367630004883
PDMS,30,151,32.64127731323242
PDMS,30,152,8.977269172668457
PDMS,30,153,33.990909576416016
PDMS,30,154,23.321664810180664
PDMS,30,155,16.128442764282227
PDMS,30,156,11.900660514831543
PDMS,30,157,33.9197883605957
PDMS,30,158,60.06813430786133
PDMS,30,159,47.398582458496094
PDMS,30,160,41.970550537109375
PDMS,30,161,17.146820068359375
PDMS,30,162,12.30833625793457
PDMS,30,163,50.04415512084961
PDMS,30,164,35.71320724487305
PDMS,30,165,15.177921295166016
PDMS,30,166,28.14845848083496
PDMS,30,167,33.376564025878906
PDMS,30,168,36.63970947265625
PDMS,30,169,40.57170486450195
PDMS,30,170,28.324499130249023
PDMS,30,171,58.2000846862793
PDMS,30,172,15.673530578613281
PDMS,30,173,33.87642288208008
PDMS,30,174,29.409643173217773
PDMS,30,175,41.300872802734375
PDMS,30,176,34.41614532470703
PDMS,30,177,54.607818603515625
PDMS,30,178,46.44483947753906
PDMS,30,179,19.556921005249023
PDMS,30,180,37.033287048339844
PDMS,30,181,42.32405471801758
PDMS,30,182,61.912376403808594
PDMS,30,183,42.32649612426758
